id	rate
1001	70.9
1003	74.4
1005	70
1007	69.3
1009	71.5
1011	69.8
1013	71
1015	69.6
1017	68.5
1019	71.7
1021	70.3
1023	70.1
1025	71.1
1027	69.6
1029	69.5
1031	72.5
1033	71.6
1035	72.2
1037	69.2
1039	71.4
1041	72.1
1043	73.6
1045	73
1047	71.2
1049	73.7
1051	68.1
1053	72.4
1055	70.3
1057	67.7
1059	70.1
1061	73.8
1063	68.5
1065	70
1067	71.2
1069	73.8
1071	71.3
1073	69.9
1075	67.6
1077	71.2
1079	73.8
1081	68.6
1083	74.6
1085	70.8
1087	68.2
1089	73.3
1091	69.2
1093	68
1095	73.2
1097	72.3
1099	71.9
1101	69.7
1103	73.9
1105	70.2
1107	67.5
1109	70.8
1111	68.4
1113	69
1115	69.8
1117	70.1
1119	69.7
1121	69.5
1123	68.1
1125	67.4
1127	68.8
1129	68.7
1131	70.2
1133	69.6
2013	85.8
2016	84.9
2020	78.4
2050	83.4
2060	84.8
2068	81.8
2070	80.4
2090	77.4
2100	84.7
2105	87.8
2110	88
2122	78.5
2130	84.5
2150	83.5
2164	85.3
2170	76.6
2180	84.2
2185	89.6
2188	84.6
2195	85.3
2198	86.8
2220	88.1
2230	85.8
2240	71.4
2261	83.7
2270	84.8
2275	85.3
2282	76.9
2290	80.1
4001	44.3
4003	39.6
4005	47.3
4007	36.3
4009	35.7
4011	38
4012	32
4013	30.2
4015	32.8
4017	42
4019	35.7
4021	33.5
4023	41
4025	38.6
4027	37.8
5001	68.3
5003	66.9
5005	63.6
5007	64.9
5009	65
5011	66
5013	65.7
5015	63.3
5017	70.9
5019	64.7
5021	66.6
5023	63.9
5025	67.8
5027	65.9
5029	64
5031	67.1
5033	60.8
5035	68.6
5037	68.2
5039	65.8
5041	68.9
5043	66.8
5045	63.9
5047	61.7
5049	66.1
5051	64.7
5053	65.4
5055	67
5057	64.9
5059	65
5061	64.8
5063	63.5
5065	63.4
5067	66.7
5069	68.6
5071	62.1
5073	65.9
5075	66.5
5077	68.5
5079	67.8
5081	64
5083	62.4
5085	66
5087	64.8
5089	62.6
5091	64.6
5093	67.9
5095	67.5
5097	65.2
5099	64.5
5101	65
5103	65.7
5105	64
5107	68.1
5109	64.3
5111	67.5
5113	65.6
5115	62.6
5117	68.3
5119	64.9
5121	66.4
5123	68.5
5125	65
5127	62.9
5129	64.3
5131	60.6
5133	63.3
5135	64.7
5137	63.6
5139	65.5
5141	63.7
5143	62.9
5145	66.9
5147	68
5149	63.2
6001	74.6
6003	56
6005	49.4
6007	49.7
6009	48
6011	53.3
6013	71.2
6015	83.1
6017	48.6
6019	42.9
6021	49
6023	84.1
6025	36
6027	44.7
6029	37.3
6031	45.3
6033	61.6
6035	55.1
6037	59.4
6039	47.6
6041	77.5
6043	40.8
6045	67.6
6047	51.3
6049	59.8
6051	53.2
6053	79.2
6055	65.7
6057	49.5
6059	64
6061	49.8
6063	56.4
6065	45.3
6067	57.3
6069	64.6
6071	43.7
6073	65.3
6075	85.3
6077	58.5
6079	64.5
6081	77
6083	52
6085	67.5
6087	75.7
6089	48.6
6091	57
6093	63.1
6095	66
6097	73.8
6099	54.8
6101	55.2
6103	47.6
6105	64.9
6107	42.6
6109	44.3
6111	60.5
6113	60.7
6115	52.4
8001	50.2
8003	50.7
8005	51.7
8007	49.4
8009	47.1
8011	48.2
8013	47.6
8014	49.1
8015	54.6
8017	50.5
8019	53.5
8021	50.6
8023	49.1
8025	47.1
8027	51.4
8029	49.5
8031	52.5
8033	46.5
8035	52.1
8037	55.9
8039	52.4
8041	46.3
8043	51.4
8045	54.4
8047	56.1
8049	58.8
8051	56.6
8053	60.2
8055	51.2
8057	59.3
8059	51.8
8061	48.7
8063	50.5
8065	60.3
8067	49.8
8069	48
8071	45.8
8073	51.4
8075	53
8077	47.6
8079	53.8
8081	55.8
8083	46.5
8085	51
8087	52.5
8089	47.1
8091	54.5
8093	60.7
8095	53.3
8097	57.5
8099	48.7
8101	46.2
8103	55
8105	52.2
8107	58.2
8109	53.6
8111	60.7
8113	60.7
8115	53.3
8117	59.9
8119	50.3
8121	52.6
8123	50.6
8125	52.5
9001	71.8
9003	70.4
9005	73
9007	72.5
9009	71.2
9011	73.5
9013	72.6
9015	73.4
10001	74.5
10003	71.6
10005	73.6
11001	68.1
12001	68.7
