id	rate
1001	67.1
1003	70
1005	68.4
1007	66.5
1009	64.7
1011	68.2
1013	68.6
1015	64.8
1017	65.4
1019	63.5
1021	66.1
1023	68.9
1025	69.2
1027	64.8
1029	65
1031	68.3
1033	63.8
1035	67.9
1037	65.6
1039	69.1
1041	67.3
1043	63.4
1045	68.2
1047	67.9
1049	62.2
1051	67.8
1053	69.7
1055	64.1
1057	66.9
1059	64.6
1061	68.4
1063	68.4
1065	68
1067	68.2
1069	68.2
1071	62.7
1073	66.1
1075	66.1
1077	64.3
1079	63.2
1081	66.7
1083	62.6
1085	67.7
1087	67.5
1089	62.6
1091	68.9
1093	66.4
1095	63.5
1097	70.2
1099	68
1101	67.9
1103	63.6
1105	67.9
1107	67.8
1109	67.4
1111	65.1
1113	66.8
1115	66
1117	66.2
1119	67.5
1121	65.1
1123	66.2
1125	67
1127	66.2
1129	70.8
1131	69
1133	65.1
2013	36.1
2016	39.3
2020	33.1
2050	26.1
2060	29.5
2068	21.3
2070	29.7
2090	23.5
2100	33.2
2105	37.5
2110	35.2
2122	34.9
2130	43.9
2150	39.2
2164	29.1
2170	30.2
2180	24.5
2185	15.6
2188	22.8
2195	41.4
2198	43.5
2220	42.3
2230	30.3
2240	25.5
2261	27.2
2270	24.9
2275	41.4
2282	39.8
2290	22.3
4001	51
4003	63.2
4005	50.3
4007	63.8
4009	65.4
4011	62.5
4012	71.5
4013	75.5
4015	67.6
4017	57.5
4019	69.3
4021	71.7
4023	63.3
4025	59.6
4027	73.3
5001	66.6
5003	68.7
5005	63
5007	61.9
5009	62.6
5011	67.6
5013	68.5
5015	63.1
5017	67
5019	67.8
5021	63.9
5023	64.9
5025	66.9
5027	67.6
5029	65.1
5031	63.9
5033	65.4
5035	65.4
5037	64.7
5039	68.1
5041	66.8
5043	67.4
5045	65.6
5047	65.7
5049	63.4
5051	66
5053	67.7
5055	64.1
5057	68.4
5059	67.2
5061	67.7
5063	64.4
5065	64.4
5067	64.9
5069	66.4
5071	65.5
5073	67.8
5075	63.5
5077	65.3
5079	66.9
5081	67.8
5083	66.2
5085	65.5
5087	61.9
5089	63.1
5091	68.1
5093	64.6
5095	65.8
5097	64.9
5099	68.4
5101	62.6
5103	68.7
5105	65.1
5107	65.6
5109	67.7
5111	64.1
5113	64.8
5115	65.1
5117	65.5
5119	66.3
5121	62.9
5123	65.5
5125	67.4
5127	65.4
5129	64
5131	66.2
5133	66.6
5135	63.7
5137	64.3
5139	67.9
5141	64.8
5143	62.3
5145	64.3
5147	65.3
5149	65.1
6001	56.8
6003	44.7
6005	63.1
6007	61.2
6009	62.9
6011	63.8
6013	57.4
6015	52.1
6017	60.3
6019	66.2
6021	64.1
6023	51.6
6025	73.8
6027	50.8
6029	66.1
6031	65.7
6033	57.5
6035	49.7
6037	65.2
6039	64.2
6041	56.1
6043	60.2
6045	55.9
6047	63.3
6049	47.7
6051	42.2
6053	54.9
6055	59.5
6057	58.8
6059	64.5
6061	62.2
6063	50.9
6065	63.2
6067	64
6069	58
6071	66.5
6073	63.8
6075	54.7
6077	61.7
6079	59
6081	56.3
6083	63.7
6085	59.7
6087	56.1
6089	61.6
6091	48.6
6093	49.6
6095	58.8
6097	55.9
6099	63
6101	61.8
6103	62.7
6105	53.9
6107	65.8
6109	61.1
6111	61.9
6113	60.8
6115	62.3
8001	54.3
8003	46
8005	53.8
8007	45.4
8009	57.4
8011	56.9
8013	50.7
8014	53.7
8015	40.7
8017	55.2
8019	44.3
8021	46
8023	44.5
8025	56.8
8027	47.5
8029	50.2
8031	53.2
8033	51.2
8035	50.2
8037	41
8039	49.9
8041	51.3
8043	47.5
8045	46.4
8047	39.4
8049	39
8051	39.8
8053	37.6
8055	44.2
8057	40
8059	52.8
8061	57
8063	55.2
8065	35.1
8067	47.2
8069	51.5
8071	51.7
8073	51.4
8075	53.9
8077	52.8
8079	39.2
8081	45.3
8083	51.2
8085	48.9
8087	53.8
8089	56.8
8091	41.8
8093	34.4
8095	54.9
8097	39.5
8099	57
8101	54
8103	45.3
8105	43.9
8107	42
8109	44.4
8111	37.3
8113	37.3
8115	54.9
8117	34.9
8119	45.4
8121	53.9
8123	52.5
8125	55.1
9001	54.8
9003	54.2
9005	52.2
9007	54.1
9009	54.8
9011	54.2
9013	52.4
9015	52.9
10001	58.5
10003	58.3
10005	58.9
11001	60.9
12001	71.7
12003	70.9
12005	71.3
12007	71.4
12009	74.4
12011	77
12013	71.2
12015	73.9
12017	72.3
12019	72.6
12021	75.6
12023	71.3
12027	73.6
12029	71.1
12031	72.8
12033	71
12035	73.7
12037	71.5
12039	70.3
12041	70.6
12043	74.3
12045	71.7
12047	71.4
12049	73.2
12051	74.3
12053	71.8
12055	73.4
12057	73.5
12059	69.8
12061	74.3
12063	69
12065	70.5
12067	71
12069	72.2
12071	74.8
12073	70.4
12075	71.3
12077	71.2
12079	69.7
12081	74.5
12083	71.3
12085	74.8
12086	77
12087	77.8
12089	72.3
12091	70.8
12093	74.5
12095	74.3
12097	73.1
12099	76.2
12101	72.8
12103	75.1
12105	72.9
12107	73.6
12109	72.1
12111	74.8
12113	70.7
12115	74.2
12117	74.3
12119	72.3
12121	71
12123	71.2
12125	71.2
12127	74.1
12129	71.1
12131	70.6
12133	69.7
13001	68.2
13003	69.5
13005	68.3
13007	68.6
13009	67.9
13011	64.1
13013	64.4
13015	63.9
13017	68.4
13019	68.6
13021	67.3
13023	66.9
13025	69.3
13027	69.4
13029	70
13031	67.7
13033	66.5
13035	66.6
13037	68.2
13039	71
13043	67.7
13045	65.3
13047	63
13049	71.8
13051	69.6
13053	67
13055	63.1
13057	63.4
